,gene,labels,Oligo_2_1,Oligo_2_3_2,log2FC,pval,log2FCsc,Oligo_2_1sqr,Oligo_2_3_2sqr,fc,log2fcsqr,select
119,EML4,,1.0237147815555,1.02085414637322,-0.0028606351822833,0.00262392765306196,0.587957125533791,1.04799195397523,1.0421431881674,0.994419073747995,-0.00807412619433193,
30,BANK1,,1.02364928765971,1.0203872452859,-0.003262042373813,0.000607096662926139,0,1.04785786412623,1.04119013034215,0.993636795588069,-0.00920949557461626,
54,CD27,,1.01496904461253,1.01170224534789,-0.00326679926463092,7.05E-06,0.0389169115689163,1.03016216152167,1.02354143324196,0.993573120303769,-0.00930195084688924,
146,GATA3,,1.01346623106971,1.01018464240307,-0.00328158866663464,3.25E-06,0,1.02711380151864,1.02047301174702,0.993534514129003,-0.00935800914581953,
95,CTSG,,1.00613453927493,1.00274361263055,-0.00339092664437879,2.68E-17,0,1.01230671112198,1.00549475267137,0.993270855190657,-0.00974091473983922,
73,CDKN2A,,1.02661421165498,1.0231104699628,-0.00350374169218082,0.000655036069719779,0.215027290153038,1.05393673957198,1.0467550337475,0.993185828375818,-0.00986441883152335,
129,FASLG,,1.01005397127865,1.00648622009872,-0.00356775117992836,7.77E-10,0,1.02020902489577,1.01301451124861,0.992948000388549,-0.0102099275323844,
199,KLRB1,,1.02737799912407,1.02356487783633,-0.00381312128773592,0.000323113282592474,0.00148409984264739,1.05550555308418,1.0476850591401,0.992590760019002,-0.0107290701705333,
141,FOXP3,,1.01430553825483,1.01001416261863,-0.00429137563619975,8.25E-10,0.0062538437750011,1.02881572493442,1.02012860869021,0.991556198030739,-0.0122335530710223,
91,CRTAM,,1.01909628548832,1.01470474382183,-0.00439154166649103,6.42E-08,0.01380807145308,1.03855723909609,1.02962571713453,0.991400067684917,-0.0124607375833687,
28,ATP1B2,,2.27072866956436,2.26093296060613,-0.00979570895822324,0.215088110953004,0.121409126604688,5.15620869078153,5.1118178523552,0.991390798726651,-0.0124742259248276,
278,PRF1,,1.02192150691933,1.01728452282178,-0.0046369840975502,5.42E-07,0.0029830820882085,1.04432356630427,1.03486780037274,0.990945559176645,-0.0131222944516877,
7,ADGRL4,,1.05179199314147,1.04698886940722,-0.00480312373425473,0.00197755593816348,0,1.10626639683651,1.09618569266261,0.990887634115323,-0.0132066286923478,
103,CYTIP,,1.07981255585072,1.07483373424102,-0.00497882160969976,0.00692991688432767,0.0160484470040379,1.16599515577286,1.1552675562625,0.990799619143136,-0.0133347808654746,
50,CD19,,1.01754162733503,1.01278169408412,-0.00475993325090363,4.11E-09,0,1.03539096335962,1.0257267598719,0.990666131123684,-0.0135291647491694,
275,PLVAP,,1.02585938164091,1.02101960558682,-0.00483977605408925,8.72E-07,0.00391360123944126,1.05238747090067,1.04248103499267,0.99058670291891,-0.0136448397152588,
136,FGF11,,1.13602375389524,1.13017967708284,-0.00584407681240662,0.012538355168151,0.00756403987154267,1.29054996941423,1.27730610249107,0.989737811602001,-0.0148816989867475,
305,SLC19A1,,1.07843347599243,1.07287796592112,-0.00555551007130783,0.00188356064389494,0.131630409525581,1.16301876214111,1.15106712975904,0.989723611715368,-0.0149023976533514,
140,FOXC2,,1.01259021120882,1.00701550615194,-0.00557470505687818,6.63E-21,0,1.02533893583592,1.01408022963045,0.989019527288022,-0.015929088924741,
240,MYO1B,,1.07293801197816,1.0667649830321,-0.00617302894606797,0.00086328559580437,-0.000296428110880873,1.15119597754765,1.13798752902348,0.988526324985684,-0.01664870867937,
227,MLPH,,1.0163397984046,1.01037284282989,-0.00596695557470528,3.06E-17,0,1.0329465858211,1.02085328152815,0.988292420480449,-0.0169901187070658,
135,FCN1,,1.01187752080857,1.00582611774047,-0.00605140306809138,8.78E-26,0.0112359763955682,1.0238961171177,1.01168617912887,0.988075022666163,-0.0173075078149693,
229,MMP12,,1.01609472647891,1.01001160179074,-0.00608312468816918,5.67E-16,0,1.03244849317825,1.0201234357519,0.988062302857924,-0.0173260802127787,
228,MMP1,,1.0142577293643,1.00807071338166,-0.00618701598263982,1.75E-22,0,1.02871874157523,1.01620656317781,0.98783712409258,-0.0176549069587667,
79,CLDN5,,1.02072165729239,1.01446092592637,-0.00626073136602523,3.63E-12,-0.00447119271863014,1.04187270166572,1.02913097023139,0.987770356768188,-0.0177524211550461,
142,FRMD3,,1.07242733619754,1.06581045249416,-0.00661688370338487,6.81E-05,0.0974087134697864,1.15010039142375,1.13595192064581,0.987698055853689,-0.0178580246364075,
234,MS4A1,,1.0199448222516,1.01342942902857,-0.0065153932230364,9.58E-16,0,1.04028744043785,1.02703920762117,0.987264834408556,-0.0184909544434494,
47,CCR7,,1.02435960871357,1.0173334114407,-0.00702619727286713,4.51E-13,0.0648991785736308,1.04931260796382,1.03496727003357,0.986328823439868,-0.0198594007582423,
53,CD247,,1.01841835760874,1.01140880560589,-0.0070095520028457,6.95E-18,-0.0104038161089274,1.03717595111448,1.02294777205713,0.986281807785785,-0.0199281718070543,
201,KLRD1,,1.02947710358095,1.0222251975583,-0.00725190602264503,9.75E-13,0.0217869461852132,1.05982310679742,1.04494435452311,0.98596109843342,-0.0203973693839275,
82,CMTM2,,1.02386784609177,1.01661149323287,-0.00725635285890736,1.18E-15,0.00124215694068795,1.0483053662606,1.03349892817317,0.985875834881728,-0.0205221355866412,
314,SOX17,,1.02121412389483,1.01392433479184,-0.00728978910299749,1.44E-18,0,1.04287828684229,1.02804255668308,0.985774245809517,-0.0206708050206877,
298,SELL,,1.12854535094426,1.12043131432353,-0.00811403662073484,0.000394020756394786,-0.148568206135552,1.2736146091379,1.25536633011675,0.985672055824248,-0.0208203693126357,
282,PTP4A3,,1.03684614004564,1.02900085051981,-0.00784528952582653,1.09E-11,0.00999748413137256,1.07504991812754,1.05884275037049,0.984924264925968,-0.0219153010964764,
